backend_id,artist_slug,date,spotify_listeners
,1PLIKÃ‰140,2024-01-07,932699
9fe01156-7b9b-47d3-88fd-b20ddfd43d67,AchtVier,2024-01-07,142650
25719633-d5bd-4b8d-aabb-114662193275,Alrima,2024-01-07,125558
,Ashh,2024-01-07,720766
9f552825-1dd8-47b4-8bb5-68544a3332e9,Badmomzjay,2024-01-07,2637044
4c69d212-bef6-4e02-ab47-a275eaf6bc41,Bolemvn,2024-01-07,708142
c38441b0-1e66-4aa7-b15d-5246bee80e0d,Bramo,2024-01-07,8885
9f1d4553-14d1-409a-bd07-3c6eb17df99e,Celo & Abdi,2024-01-07,1018619
f8988c9e-9d00-4554-8cc9-223d56af463c,Cheu-B,2024-01-07,119247
354348b4-c658-4c72-a68a-3a1bded1e16b,Chicaille Argente,2024-01-07,77471
56dd4d2c-03b9-49ab-bfb0-ac91df694555,Darren Brown,2024-01-07,6712
1db642ee-0711-42cd-b512-10d1cfb2f9f4,Diddi Trix,2024-01-07,221528
,Dinor,2024-01-07,203543
,Elams,2024-01-07,1419419
3b90d95f-cc7c-40fd-9075-886be64a03bd,ESKA,2024-01-07,13235
596eea04-1627-4a1d-85fe-3fb0f884fba9,FFRAGEZEICHEN,2024-01-07,150203
,Gambi,2024-01-07,2118835
e240b4a8-460a-422b-b0d6-55ea42f1447a,Greeny,2024-01-07,19524
e03ac5be-cf79-4777-abcb-716b2c94a3e2,Haftbefehl,2024-01-07,2559223
,Halfcastromeo,2024-01-07,10171
7414fc1d-930a-4545-977e-a8136e44f8b5,Hanybal,2024-01-07,666464
8571077a-62e3-4cde-b4ee-b01ad7c303f2,ISK,2024-01-07,528580
7649e120-eef5-483f-b062-45e257960a77,Jerome,2024-01-07,25223
,JNR Slice,2024-01-07,93248
edc27e54-a12a-4620-9448-15719dca6058,Josi,2024-01-07,143987
efb9968c-500e-4052-bc90-727b89fda1c8,Kavo,2024-01-07,125387
569ea1ec-d55f-48ce-a98d-b52bf94a1fd8,KEZ,2024-01-07,49118
07d9a17e-7989-456f-a442-c26da0660900,Kianush,2024-01-07,598075
,Kidd Azzurra,2024-01-07,53486
,Kilian437,2024-01-07,53838
6ae98adc-f7e6-4cd8-a055-03dabf942168,Kitty Kat,2024-01-07,323841
9aa1d595-502d-4a99-88a0-8b3844456f47,Koba La D,2024-01-07,3267943
cedc8257-143f-4a3d-b0ab-cba3989a2f1f,Kodes,2024-01-07,260973
a36de0a2-efc7-484c-9113-266bbc831b87,Kodor,2024-01-07,17103
5d95b89c-120c-4d1c-8919-58147acf3fb6,Kool Savas,2024-01-07,2333340
5016328e-dae0-45b8-b928-779810cdc68b,Krime,2024-01-07,153024
b8f3d3bf-01a3-4fe7-8635-55c168a1f667,Larry,2024-01-07,688255
5b1fdee8-9409-4f72-9b45-8ad84ca88299,Leila AD,2024-01-07,226649
,Liquit Walker,2024-01-07,136209
a06723c5-242a-46f6-a450-be6d2ccc5e4f,LIZ,2024-01-07,210847
056e24bf-f5ec-4f7a-b99e-087b9ddbeb63,LOC 079,2024-01-07,203775
4fb5c812-2fed-4c28-b112-e303afb35620,LUMA,2024-01-07,8969
ab5ea132-bfe8-4406-92d5-966d4639c47e,LYBRO,2024-01-07,424740
3b5585b1-1436-4b76-ad4b-a353599e09ed,Mosenu,2024-01-07,11475
f0d501bd-85aa-4b8e-aa9a-01d764906ab0,Niaks,2024-01-07,1502450
,Noodels,2024-01-07,204423
,Notorious Nasty,2024-01-07,21184
5c1883ee-a86b-41f1-a49b-f1ee2285985b,Nullzweizwei,2024-01-07,457830
07c517c8-b581-4476-98b5-08f0f8176531,O.G.,2024-01-07,668465
dc5e5cc5-b7b0-46b0-96d6-9a1ca6b653e2,Olexesh,2024-01-07,1979291
ff945b49-0fb9-4923-90b6-46657244fc2e,Pajel,2024-01-07,1427691
e73651a3-cd37-4866-a246-b20f4a115d61,Plusmacher,2024-01-07,142461
1d5fd2bf-78da-4696-8ba2-7aed41659fde,Ramo,2024-01-07,363586
bf6cce40-b704-430a-aa54-8b4d5da64e7c,RK,2024-01-07,2324354
71f7d41f-b8ff-4b61-a431-87c4837e1c67,Schubi AKpella,2024-01-07,452733
552b0e8e-7670-402c-afa0-67936daf3292,Shotas,2024-01-07,187874
d897cbef-add3-4205-92c4-8e55861392f8,Skinny Finsta,2024-01-07,15274
d4d5ae4f-965a-4e34-b410-9d903e4cf56b,Sly Alone,2024-01-07,27323
d1648667-3606-4cb0-a511-1d9748710d95,Takt32,2024-01-07,676839
,Thabiti,2024-01-07,349862
,Tom Hengst,2024-01-07,444940
74c0d200-6028-487f-b30d-f28e2b9dfb3a,Twin,2024-01-07,39496
,Wejdene,2024-01-07,456519
,Yanns,2024-01-07,773754
7406e819-402b-456c-a39b-a617953cbac6,YBRE,2024-01-07,268085
90111f71-0449-4ffb-ba1f-9ff7eab65734,Yung Rvider,2024-01-07,12024
